dono	repo	arvore	dir
bekaa-trusted-advisors	OP-Gabi	apps	OP-Gabi
bekaa-trusted-advisors	ORM-BARRADOPAR	orm	ORM-BARRADOPAR
bekaa-trusted-advisors	TWYN-ISO27001	orm	TWYN-ISO27001
bekaa-trusted-advisors	b.ctem	apps	b.ctem
bekaa-trusted-advisors	fixfacilities	apps	fixfacilities
bekaa-trusted-advisors	lit-isms	apps	lit-isms
bekaa-trusted-advisors	portalbekaa	apps	portalbekaa
bekaa-trusted-advisors	proporsal-ness	apps	proporsal-ness
bekaa-trusted-advisors	rfp-alupar	apps	bekaa-trusted-advisors--rfp-alupar
bekaa-trusted-advisors	team	apps	team
bekaa-trusted-advisors	twyn-isms	apps	twyn-isms
familia-almeida	.github	apps	.github
familia-almeida	aplicacoes	apps	aplicacoes
familia-almeida	transparencia-e-governanca	apps	transparencia-e-governanca
forense-io	01680-2026	apps	01680-2026
forense-io	01726-2026	apps	01726-2026
forense-io	PPS-01711-2026	apps	PPS-01711-2026
forense-io	PPS-01722-2026	apps	PPS-01722-2026
forense-io	PPS-01730-2026	apps	PPS-01730-2026
forense-io	SCA-Vazamento1409	apps	SCA-Vazamento1409
forense-io	bioclub	apps	bioclub
forense-io	template	apps	template
nessenergy	Alupdatalake	orm	Alupdatalake
nessenergy	SegDoc	apps	SegDoc
nessenergy	TimesheetIndicators	apps	TimesheetIndicators
nessenergy	n-infraops	infra	nessenergy--n-infraops
nessenergy	n.TimeSheet	orm	n.TimeSheet
nessenergy	n.csirt	apps	n.csirt
nessenergy	nFaturas	apps	nFaturas
nessenergy	nFlow	orm	nFlow
nessenergy	nFlow.MCP	agents	nFlow.MCP
nessenergy	sitealupar	orm	sitealupar
resper1965	Aegis-Auditor	apps	Aegis-Auditor
resper1965	Aegis-Consultor	apps	Aegis-Consultor
resper1965	Automacao_HA	apps	Automacao_HA
resper1965	CyberGame	apps	CyberGame
resper1965	DocVault	apps	DocVault
resper1965	EdgeResilience	apps	EdgeResilience
resper1965	GabiOS	apps	GabiOS
resper1965	a-esperlaw	orm	a-esperlaw
resper1965	alupdata	apps	alupdata
resper1965	api-pentest-ncommand	agents	api-pentest-ncommand
resper1965	ativu-iso27	apps	ativu-iso27
resper1965	be-secure	apps	be-secure
resper1965	claude-skills	infra	claude-skills
resper1965	cob	apps	cob
resper1965	deepseek-harness	apps	deepseek-harness
resper1965	defense-hub	apps	defense-hub
resper1965	dns-repair	infra	dns-repair
resper1965	esper-site	orm	esper-site
resper1965	ihOS	apps	ihOS
resper1965	intranet	apps	intranet
resper1965	ionic-txramp	apps	ionic-txramp
resper1965	loger	apps	loger
resper1965	money-manager	apps	money-manager
resper1965	n-infraops	infra	resper1965--n-infraops
resper1965	n.aiops	agents	n.aiops
resper1965	n.pentest	agents	n.pentest
resper1965	nISO	apps	nISO
resper1965	ness-discovery-app	apps	ness-discovery-app
resper1965	ness-site-v2026	orm	ness-site-v2026
resper1965	npentest-v2	agents	npentest-v2
resper1965	nprivacy	apps	nprivacy
resper1965	nps	apps	nps
resper1965	ntprm	apps	ntprm
resper1965	portal-forense-io	apps	portal-forense-io
resper1965	propostaalupar2026	apps	propostaalupar2026
resper1965	rfp-alupar	apps	resper1965--rfp-alupar
resper1965	skills	agents	skills
resper1965	stack-vps	infra	stack-vps
resper1965	standard-api	agents	standard-api
t4isb-infra	operations	apps	operations
t4isb-infra	twyn-saas	apps	twyn-saas
