arvore	repo	ultimo_push	linguagem	KB	arquivado
agents	api-pentest-ncommand	2026-09-08	HTML	93	nao
agents	n.aiops	2026-09-09	HTML	398	nao
agents	n.pentest	2026-09-15	TypeScript	3259	nao
agents	npentest-v2	2026-09-02	-	0	nao
agents	skills	2026-08-19	Python	18122	nao
agents	standard-api	2026-09-14	TypeScript	28496	nao
apps	ADGateway	2025-12-30	Python	207	nao
apps	Aegis-Auditor	2026-08-28	Shell	1480	nao
apps	Aegis-Consultor	2026-08-14	Shell	72	nao
apps	Automacao_HA	2026-08-11	Python	447	nao
apps	CyberGame	2026-07-03	TypeScript	8652	nao
apps	DocVault	2026-09-07	TypeScript	5634	nao
apps	EdgeResilience	2026-07-13	JavaScript	116	nao
apps	Gabi	2026-04-05	Python	147633	nao
apps	GabiOS	2026-09-15	Shell	735	nao
apps	OS	2026-04-17	TypeScript	57049	nao
apps	OT2net	2025-12-21	TypeScript	106614	nao
apps	PiriDocs	2026-02-19	TypeScript	249	nao
apps	SOCness	2026-03-13	-	0	nao
apps	TNE	2026-04-12	TypeScript	519	nao
apps	aegis-itms	2026-05-18	TypeScript	896	nao
apps	alupdata	2026-07-23	JavaScript	2367	nao
apps	ativu-iso27	2026-07-02	-	73	nao
apps	be-secure	2026-09-14	TypeScript	5311	nao
apps	canal-saas	2026-05-22	TypeScript	4054	nao
apps	cavan	2026-04-13	TypeScript	44355	nao
apps	cob	2026-09-01	Python	83105	nao
apps	deepseek-harness	2026-08-21	Dockerfile	12	nao
apps	defense-hub	2026-07-15	TypeScript	213846	nao
apps	esperlaw	2026-02-24	-	0	nao
apps	fisioterapia	2026-05-22	TypeScript	857	nao
apps	ihOS	2026-09-10	TypeScript	3617	nao
apps	intranet	2026-08-11	PHP	39123	nao
apps	ionic-txramp	2026-07-14	Python	101080	nao
apps	itsm-projetc	2026-05-24	Python	876	nao
apps	loger	2026-07-08	JavaScript	8840	nao
apps	money-manager	2026-09-10	TypeScript	749	nao
apps	n.GRC	2026-02-14	TypeScript	1066	nao
apps	n.discovery	2026-03-17	Shell	548	nao
apps	n.help	2025-12-19	TypeScript	98	nao
apps	n.trace	2026-02-20	Python	3920	nao
apps	n360	2026-02-06	Shell	1090	nao
apps	nCow	2026-02-24	TypeScript	227	nao
apps	nGhost	2026-02-17	TypeScript	1400	nao
apps	nISO	2026-09-14	TypeScript	3998	nao
apps	nLogAnalyser	2026-02-09	-	0	nao
apps	nPhish	2026-01-29	Python	64	nao
apps	nRisk	2026-02-12	Python	5422	nao
apps	nTransfer	2026-01-26	C#	256	nao
apps	nano	2026-04-17	TypeScript	1962	nao
apps	ness-discovery-app	2026-07-02	JavaScript	170	nao
apps	ness.MKT	2026-02-14	Python	1114	nao
apps	ness.OS	2026-03-13	TypeScript	3011	nao
apps	nessSOC	2026-03-27	Vue	6191	nao
apps	nprivacy	2026-08-28	TypeScript	395	nao
apps	nprocess	2026-01-29	Python	1760	nao
apps	nps	2026-09-02	-	0	nao
apps	ntprm	2026-09-03	-	0	nao
apps	portal-forense-io	2026-07-15	TypeScript	225	nao
apps	propostaalupar2026	2026-07-22	TypeScript	1132	nao
apps	renataklein	2026-02-24	Python	10236	nao
apps	resper1965	2026-05-25	-	12	nao
apps	rfp-alupar	2026-06-19	HTML	1394	nao
apps	sabrina-presentation01	2026-06-06	TypeScript	157	nao
apps	sdlccob	2025-12-08	TypeScript	404	nao
apps	security-center	2025-12-21	TypeScript	946	nao
apps	villa-del-fiori	2025-12-16	TypeScript	2191	nao
apps	wedding	2026-03-09	TypeScript	3147	nao
infra	claude-skills	2026-09-15	-	0	nao
infra	dns-repair	2026-09-07	Python	353	nao
infra	n-infraops	2026-09-01	Python	6972	nao
infra	stack-vps	2026-09-15	Shell	10	nao
orm	a-esperlaw	2026-07-15	JavaScript	50690	nao
orm	aegis.compliance	2026-05-11	TypeScript	53789	nao
orm	bekaa-site	2026-05-21	TypeScript	2581	nao
orm	corp-site-ness	2026-01-22	JavaScript	43546	nao
orm	esper-site	2026-09-14	TypeScript	15751	nao
orm	n.training	2026-01-26	TypeScript	1334	nao
orm	ness-site-v2026	2026-09-15	TypeScript	11146	nao
orm	ness-website26	2026-04-14	-	0	nao
orm	site-sabrina	2026-03-26	TypeScript	4910	nao
